???????  ?EUROTEL?,7
???.??????? ?Nokia? 6230,1
?????????? Sempron 2200,3
?????????? PIV 3000,1
???????LG T710SH ,4
???? Canon LBP-1120,1
???? HP Laserjet 1320,1
UPS 600 VA Powercom BNT-600A,4
 ??????.???? Canon NP 7161,1
"???? USB 512 Mb,ext",2
????? ???????,1
??????????,1
??????? ????????,1
????? ???????,1
????????,15
?????????? PIV2400,4
??????? Samsung 793DF 17,4
UPS 500 VA ,4
CD-RW Sony 52*32*52,1
???? ??????,16
?????????? PIV 3200,1
?????????? PIV2400,3
???????LG T711S ,4
UPS 1000 VA ,1
UPS 500 VA ,3
???? HP Laserjet 1320,1
?????? ?????? ?????????? 10-40?,1
?????? HP3800,1
???? HP Laserjet 1020,5
???? Xerox Phaser ColorLaserjet 6100,1
?????? Cizer Lap 1100,1
?????????? ??????? ???? 21230 GLS,1
???? Datamax M-4206,2
,
???? HP Laserjet 5100 DTN,1
?????? Symbol MC3000,5
?????? Kodak I260 Duplex ,1
I200 Scaners-Consumables Kit,2
?????? 10-34 ?,1
?????? Metrologik MS9520,7
?????? Kodak I260 Duplex ,1
?????????? /????????,1
?????????? /????????,1
?????????? P4 2.4 GhZ,3
?????????? P3.0 GhZ /CD-ROM,2
?????????? P3.0 GhZ /DVD-ROM,1
??????? Dell 17 LCD,1
??????? Samsung 17 793df,5
????????? Genius KB-21e PS/2,1
????? Netscrol Mini traveler,1
UPS 600 VA,6
???????? LG GR-G47,1
???????? LG GR-G242,1
????????????? Samsung-CS29,1
????????????? Sony KV-AZ212,1
???????? Sony DSV,1
??????????????  Sony DVP,1
???????? Sanyo,1
???? Panasonic KX-FL403UA,1
?????? ??????? ,1
????? ???????,1
?????? Laser Metrologic MS9540,100
??????? HP NX7400,70
????????? Flamngo A3,1
????????? Flamngo A4,2
???? ????. ????????? Xerox Phaser 6120N ,1
????? ???? A-4 Dhale,1
???????? LCD Benq MP-620,2
???????? ????????? ????????,2
"?????? Kodak 1260,A3",2
?????? Kodak 1260-? ????.???,2
???? ????. ????????? Kyocera FC-C5030N ,1
???? ???.?????.HDD320GB 7200 Sata Seagate,1
??????? Panasonic,1
?????????? WC3119,170
????????? ??????,1
?????????? I HP d*7300 Pentium D 915,25
??????? I HP  L1706 LCD 17,25
?????????? II HP d*7300 Pentium D 915,4
??????? II HP  L1706 LCD 17,4
?????????? III HP dc7700 Pentium D 925,3
??????? III HP  L1706 LCD 17,3
?????????? IV HP dc7700,2
??????? IV HP L1965 LCD 19,2
??????? HP NX9420,2
?????? I HP ML 150G3 WS5120 Dual Intel Xeon,1
??????? I ???????  CTX701F 17,1
?????? II HP ML 150G3 WS5120 Dual Intel Xeon,1
??????? II ???????  CTX701F 17,1
???? I HP LJ P2015,8
???? II HP LJ 9050dn,4
?????????? I Mitka KM 1635,2
?????????? II Mitka KM 3035,1
???????? Optoma EP 1690,2
UPS I TL AVRX750U,34
UPS II TL Smartlint2200VS,2
????????? ???????,2
????????? ???,1
???????? Panasonic RR-US470E-K,2
Hard Drive Camcorder Sony DSR-SR62E,1
Data Storage  Sony MSX-M2GSXA,1
???????? B,50
???????? C,4
???????? D,30
????? ???????????????????? E,4
?????????? A,38
?????????? B,2
?????????? ???????????,35
???? A,120
???? B,4
???? C,40
???? D,60
???????? ????????????,33
???? ????????????,"2,52"
??????? 2000*1900*500,6
??????? 2000*1900*500,1
??????? 2075*1900*500,2
?????????? ??????. 294*2000,1
?????????? ????. 1970*830,1
????? ???????? 69*61*55,6
????????? ????????????/WV2ZZZ7HZ4X001052          ,1
????????? ???? Risograph RZ 970                   ,1
??????? Asus Core 2 Duo-2Ghz/HDD 160GB/Ram        ,10
????? ????????? ????                              ,1
????? ????????? ????                              ,1
?????.?????.??.????/ UPS ePro 1.5 KVA             ,1
?????.?????.??.????/ UPS ePro 800VA               ,15
??????? LCD 17 Samsung 720N                       ,10
?????????.???? E4500-2.2 GHz Pioneer/WINXP        ,10
????? ???????/ IDEAL 1043                         ,3
?????.?????.????/HDD160Gb Seagate 7200 SATA       ,1
?????? HP ML 150G3 5120                           ,2
?????.?????.??????.????/SUA3000XLI                ,1
?????? ? Kodak I 260?                             ,2
????????  491 ???/?????                           ,491
???????-2     54 ???/?????                        ,54
???????-1    2 ???/?????                          ,2
???????? ????-3 ??????  42 ???/?????              ,42
???????? ????-2 ??????  12 ???/?????              ,12
???????? ????-1 ??????  2 ???/?????               ,2
???????? 189 ???/?????                            ,189
???????? LG D-246RQ ART                           ,1
????? -158 10-40?.???????/80???                   ,80
????????-?????? 25 ????? 25?.???????/50???        ,50
????????-?????? 40 ????? 40?.???????/10???        ,10
???? ????????????                                 ,1
???????????? ???????????????                      ,1
????? ???? / Delux/Bostitch M2-BST                ,1
????? ???? / Martin Yale 959                      ,1
????????? ???? / Uchida UC 1100                   ,1
????? /Ideal 6550-95 EP                           ,1
???????? /Riso RZ 970                             ,1
???????? LG LS-H2665DMO                           ,1
?????? RIZO MZ 9*A3,1
???????? ?????????????,20
?????,5
????? ??????????,10
??????????? LG LS-H2665DMO,2
????????? ???????,3
?????? Kodak 1260 ?? ???????? ?????,2
???? ?????????,90
????? ?????????,90
????????? ??????/Semi-Auto,1
????? ??.TBM-600.2-A3,1
,1
?????????  G4000 PRO,
??????? ?????????/????,1
??????? ?????????/????,1
????????? ???? Risograph RZ970 A3 S-4779E,1
?????????? HP Pavilon X16 1354CA/,2
?????????????/42 ???????????,30
??????,6
????????????? ??????/?????????,1
????? ????? ????,1
??????? ????????? ????/UPS,10
??????? ????????? ????/SMART UPS,2
??????,2
??????????,10
???????? LG HS-H1865DAO,2
???? ?????????/4.2 ???.????,1
?????????? ???????? ????,1
???????????? ????/JBB50C,1
???? D-LINK DGS-1016D,1
???????? LG 186 GH,1
?????? 700*800,1
????????? ????????? 1000*800,1
????????? ????????? 2000*500,4
????????? ????????? ?????????,2
????? ????????? ?????.1700*800,8
????? ????????? ?????????,4
???. ???. ?????. ???? APC BK650,15
???? ????????250GB,20
???????? Delongi,3
???????? Delongi,7
????????,7
??????? ????????? 1411,2
?????????/???????,1
?????????/??????,1
??????????/??????,1
?????????/IAsus EN8400,1
??????? ??????? ??. ????/Invader 600VA,10
????????? ???? TOP-S30/10,1
??????? Panasonic KX-T2350UAB,2
?????? ?????/4???,4
????????????? ??????/????,1
???????????? ????????? ?????????,1
????????? H-1,1
???????? Indezit TT85 T,2
?????????? ?????? RAV-4,1
??????? ????????? ????/UPS,10
??????? B2030,5
???????????? ????????,1
??????? PANASONIC,1
"????????????? ??????/?????????,?????????",1
?????,2
????????????? DAEWOO,3
???? ?????????????,4
"???? ?????????????,?????",1
??????? ???????? ????,1
???????? ???????????? 2.5,4
??????? ???????? ???????? 800??,8
????????,1
???????? ???? intel lnet,2
???????? ?????-????,4
????????????? ??????/????????? 80??,1
???????? DNK 26000M,1
?????? BKK 2102,1
???????  CSM661000W,1
????????????? VS,3
????????????? LORETTI,1
????,1
???????????????? ???? SAMSUNG SCX3200,15
???? ?????????????,17
????????? ??????????/??????? HP probook,2
????????? ??????????/??????? HP  SONY VAIO,1
?????????? ??.???? QDS DY-200WN,2
??????? ??????? ??.????,5
???? ???????? Toshiba 500GB,5
???????? ASUS GT610 1GD 3L,2
??????? ??????? ???????? ???? UPS APC BX650CL,10
??????? ???? XILENCE XP750,1
????? ?????????????                               ,10
,
????? ????? ?????                                 ,2
,
????? ??? ????????????                            ,1
,
???????? ??????? DGS-1024D                        ,2
,
?????????? HP 3500                                ,6
,
???? ????????? HP Lazerjet Pro 400                ,2
,
???? ???????? AS3500GB3.5                         ,2
,
???? ???????? ????? ?????.Seagate                 ,2
,
????????????? S/G 905                             ,4
,
???? ???????? ????? ?????.Seagate 500GB           ,2
,
???? /??????? ??????? ,16
,
